old_dir	citekey	topic	number	status	title
Artificial_Intelligence/papers/01_mcculloch_1943	mcculloch1943logical	Artificial_Intelligence	1	x	A Logical Calculus of the Ideas Immanent in Nervous Activity
Artificial_Intelligence/papers/02_turing_1950	turing1950computing	Artificial_Intelligence	2	x	Computing Machinery and Intelligence
Artificial_Intelligence/papers/03_rosenblatt_1958	rosenblatt1958perceptron	Artificial_Intelligence	3	x	The Perceptron: A Probabilistic Model for Information Storage and Organization in the Brain
Artificial_Intelligence/papers/04_minsky_1969	minsky1969perceptrons	Artificial_Intelligence	4	x	Perceptrons (book)
Artificial_Intelligence/papers/05_hopfield_1982	hopfield1982neural	Artificial_Intelligence	5	x	Neural Networks and Physical Systems with Emergent Collective Computational Abilities
Artificial_Intelligence/papers/06_rumelhart_1986	rumelhart1986learning	Artificial_Intelligence	6	x	Learning Representations by Back-propagating Errors
Artificial_Intelligence/papers/07_lecun_1989	lecun1989backpropagation	Artificial_Intelligence	7	x	Backpropagation Applied to Handwritten Zip Code Recognition
Artificial_Intelligence/papers/08_cortes_1995	cortes1995supportvector	Artificial_Intelligence	8	x	Support-Vector Networks
Artificial_Intelligence/papers/09_hochreiter_1997	hochreiter1997long	Artificial_Intelligence	9	x	Long Short-Term Memory
Artificial_Intelligence/papers/10_lecun_1998	lecun1998gradientbased	Artificial_Intelligence	10	x	Gradient-Based Learning Applied to Document Recognition
Artificial_Intelligence/papers/11_breiman_2001	breiman2001random	Artificial_Intelligence	11	x	Random Forests
Artificial_Intelligence/papers/12_hinton_2006	hinton2006fast	Artificial_Intelligence	12	x	A Fast Learning Algorithm for Deep Belief Nets
Artificial_Intelligence/papers/13_krizhevsky_2012	krizhevsky2012imagenet	Artificial_Intelligence	13	x	ImageNet Classification with Deep Convolutional Neural Networks (AlexNet)
Artificial_Intelligence/papers/14_mikolov_2013	mikolov2013efficient	Artificial_Intelligence	14	x	Efficient Estimation of Word Representations in Vector Space (Word2Vec)
Artificial_Intelligence/papers/15_kingma_2013	kingma2013autoencoding	Artificial_Intelligence	15	x	Auto-Encoding Variational Bayes (VAE)
Artificial_Intelligence/papers/16_goodfellow_2014	goodfellow2014generative	Artificial_Intelligence	16	x	Generative Adversarial Nets (GANs)
Artificial_Intelligence/papers/17_bahdanau_2014	bahdanau2014neural	Artificial_Intelligence	17	x	Neural Machine Translation by Jointly Learning to Align and Translate
Artificial_Intelligence/papers/18_kingma_2014	kingma2014adam	Artificial_Intelligence	18	x	Adam: A Method for Stochastic Optimization
Artificial_Intelligence/papers/19_ioffe_2015	ioffe2015batch	Artificial_Intelligence	19	x	Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift
Artificial_Intelligence/papers/20_he_2015	he2015deep	Artificial_Intelligence	20	x	Deep Residual Learning for Image Recognition (ResNet)
Artificial_Intelligence/papers/21_ba_2016	ba2016layer	Artificial_Intelligence	21	x	Layer Normalization
Artificial_Intelligence/papers/22_mnih_2013	mnih2013playing	Artificial_Intelligence	22	x	Playing Atari with Deep Reinforcement Learning (DQN)
Artificial_Intelligence/papers/23_silver_2016	silver2016mastering	Artificial_Intelligence	23	x	Mastering the game of Go with deep neural networks and tree search (AlphaGo)
Artificial_Intelligence/papers/24_schulman_2017	schulman2017proximal	Artificial_Intelligence	24	x	Proximal Policy Optimization Algorithms (PPO)
Artificial_Intelligence/papers/25_vaswani_2017	vaswani2017attention	Artificial_Intelligence	25	x	Attention Is All You Need
Artificial_Intelligence/papers/26_kipf_2017	kipf2017semisupervised	Artificial_Intelligence	26	x	Semi-Supervised Classification with Graph Convolutional Networks
Artificial_Intelligence/papers/27_zoph_2017	zoph2017neural	Artificial_Intelligence	27	x	Neural Architecture Search with Reinforcement Learning
Artificial_Intelligence/papers/28_devlin_2018	devlin2018bert	Artificial_Intelligence	28	x	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
Artificial_Intelligence/papers/29_radford_2019	radford2019language	Artificial_Intelligence	29	x	Language Models are Unsupervised Multitask Learners (GPT-2)
Artificial_Intelligence/papers/30_frankle_2019	frankle2019lottery	Artificial_Intelligence	30	x	The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks
Artificial_Intelligence/papers/31_dosovitskiy_2020	dosovitskiy2020image	Artificial_Intelligence	31	x	An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale (ViT)
Artificial_Intelligence/papers/32_chen_2020	chen2020simple	Artificial_Intelligence	32	x	A Simple Framework for Contrastive Learning of Visual Representations (SimCLR)
Artificial_Intelligence/papers/33_lewis_2020	lewis2020retrievalaugmented	Artificial_Intelligence	33	x	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks (RAG)
Artificial_Intelligence/papers/34_brown_2020	brown2020language	Artificial_Intelligence	34	x	Language Models are Few-Shot Learners (GPT-3)
Artificial_Intelligence/papers/35_ho_2020	ho2020denoising	Artificial_Intelligence	35	x	Denoising Diffusion Probabilistic Models (DDPM)
Artificial_Intelligence/papers/36_radford_2021	radford2021learning	Artificial_Intelligence	36	x	Learning Transferable Visual Models From Natural Language Supervision (CLIP)
Artificial_Intelligence/papers/37_jumper_2021	jumper2021highly	Artificial_Intelligence	37	x	Highly Accurate Protein Structure Prediction with AlphaFold (AlphaFold 2)
Artificial_Intelligence/papers/38_ouyang_2022	ouyang2022training	Artificial_Intelligence	38	x	Training Language Models to Follow Instructions with Human Feedback (InstructGPT)
Artificial_Intelligence/papers/39_kaplan_2020	kaplan2020scaling	Artificial_Intelligence	39	x	Scaling Laws for Neural Language Models
Artificial_Intelligence/papers/40_bai_2022	bai2022constitutional	Artificial_Intelligence	40	x	Constitutional AI: Harmlessness from AI Feedback
Artificial_Intelligence/papers/41_watkins_1992	watkins1992technical	Artificial_Intelligence	41	 	Technical Note: Q-Learning
Artificial_Intelligence/papers/42_hinton_2012	hinton2012improving	Artificial_Intelligence	42	 	Improving Neural Networks by Preventing Co-adaptation of Feature Detectors (Dropout)
Artificial_Intelligence/papers/43_sutskever_2014	sutskever2014sequence	Artificial_Intelligence	43	 	Sequence to Sequence Learning with Neural Networks
Artificial_Intelligence/papers/44_simonyan_2014	simonyan2014very	Artificial_Intelligence	44	 	Very Deep Convolutional Networks for Large-Scale Image Recognition (VGG)
Artificial_Intelligence/papers/45_szegedy_2015	szegedy2015going	Artificial_Intelligence	45	 	Going Deeper with Convolutions (GoogLeNet / Inception v1)
